"","Channel 1 Last (F)","Channel 1 Ave. (F)","Channel 1 Min. (F)","Channel 1 Max. (F)"
"00:00:00","73.288","73.259","73.235","73.288"
"00:00:01","73.248","73.261","73.248","73.278"
"00:00:02","73.308","73.269","73.248","73.308"
"00:00:03","73.341","73.345","73.321","73.361"
"00:00:04","73.381","73.370","73.358","73.381"
"00:00:05","73.388","73.386","73.382","73.388"
"00:00:06","73.335","73.356","73.335","73.375"
"00:00:07","73.336","73.337","73.329","73.342"
"00:00:08","73.343","73.342","73.336","73.349"
"00:00:09","73.362","73.355","73.346","73.362"
"00:00:10","73.363","73.359","73.349","73.369"
"00:00:11","73.356","73.359","73.350","73.369"
"00:00:12","73.357","73.355","73.337","73.370"
"00:00:13","73.364","73.358","73.350","73.364"
"00:00:14","73.384","73.375","73.364","73.384"
"00:00:15","73.364","73.385","73.364","73.391"
"00:00:16","73.351","73.370","73.351","73.384"
"00:00:17","73.344","73.349","73.344","73.351"
"00:00:18","73.365","73.365","73.345","73.384"
"00:00:19","73.444","73.395","73.368","73.444"
"00:00:20","73.564","73.495","73.448","73.564"
"00:00:21","73.643","73.603","73.567","73.643"
"00:00:22","73.869","73.766","73.666","73.869"
"00:00:23","74.081","73.980","73.885","74.081"
"00:00:24","74.134","74.119","74.091","74.141"
"00:00:25","74.121","74.128","74.114","74.147"
"00:00:26","74.148","74.153","74.134","74.168"
"00:00:27","74.102","74.120","74.102","74.138"
"00:00:28","74.016","74.061","74.016","74.102"
"00:00:29","73.956","73.979","73.956","74.012"
"00:00:30","73.877","73.905","73.877","73.936"
"00:00:31","73.824","73.835","73.818","73.864"
"00:00:32","73.778","73.796","73.778","73.815"
"00:00:33","73.739","73.756","73.739","73.775"
"00:00:34","73.706","73.723","73.706","73.739"
"00:00:35","73.659","73.678","73.659","73.699"
"00:00:36","73.640","73.654","73.640","73.660"
"00:00:37","73.508","73.565","73.508","73.620"
"00:00:38","73.422","73.458","73.422","73.498"
"00:00:39","73.349","73.381","73.349","73.419"
"00:00:40","73.297","73.318","73.297","73.339"
"00:00:41","73.297","73.290","73.283","73.297"
"00:00:42","73.304","73.303","73.297","73.310"
"00:00:43","73.317","73.303","73.297","73.317"
"00:00:44","73.311","73.311","73.304","73.317"
"00:00:45","73.291","73.301","73.291","73.317"
"00:00:46","73.285","73.299","73.285","73.304"
"00:00:47","73.285","73.291","73.285","73.298"
"00:00:48","73.285","73.285","73.278","73.291"
"00:00:49","73.285","73.285","73.272","73.298"
"00:00:50","73.312","73.295","73.272","73.312"
"00:00:51","73.306","73.305","73.299","73.309"
"00:00:52","73.333","73.312","73.299","73.333"
"00:00:53","73.286","73.316","73.286","73.333"
"00:00:54","73.293","73.269","73.260","73.293"
"00:00:55","73.360","73.332","73.303","73.360"
"00:00:56","73.346","73.358","73.346","73.373"
"00:00:57","73.314","73.327","73.314","73.340"
"00:00:58","73.274","73.296","73.274","73.310"
"00:00:59","73.327","73.287","73.261","73.327"
"00:01:00","73.281","73.303","73.281","73.317"
"00:01:01","73.268","73.262","73.248","73.271"
"00:01:02","73.242","73.247","73.235","73.265"
"00:01:03","73.242","73.241","73.235","73.248"
"00:01:04","73.249","73.245","73.236","73.249"
"00:01:05","73.249","73.257","73.249","73.269"
"00:01:06","73.243","73.246","73.229","73.256"
"00:01:07","73.223","73.224","73.210","73.236"
"00:01:08","73.157","73.179","73.157","73.213"
"00:01:09","73.164","73.156","73.150","73.164"
"00:01:10","73.191","73.173","73.151","73.191"
"00:01:11","73.191","73.192","73.191","73.197"
"00:01:12","73.211","73.201","73.191","73.211"
"00:01:13","73.258","73.235","73.214","73.258"
"00:01:14","73.331","73.304","73.271","73.331"
"00:01:15","73.324","73.343","73.324","73.357"
"00:01:16","73.298","73.310","73.298","73.324"
"00:01:17","73.325","73.325","73.305","73.338"
"00:01:18","73.312","73.311","73.305","73.318"
"00:01:19","73.319","73.317","73.305","73.325"
"00:01:20","73.339","73.322","73.312","73.339"
"00:01:21","73.339","73.343","73.339","73.352"
"00:01:22","73.346","73.340","73.332","73.346"
"00:01:23","73.366","73.352","73.346","73.366"
"00:01:24","73.386","73.384","73.373","73.393"
"00:01:25","73.399","73.397","73.389","73.399"
"00:01:26","73.400","73.398","73.386","73.413"
"00:01:27","73.367","73.387","73.367","73.396"
"00:01:28","73.347","73.353","73.347","73.363"
"00:01:29","73.327","73.336","73.321","73.354"
"00:01:30","73.295","73.316","73.295","73.341"
"00:01:31","73.308","73.302","73.295","73.308"
"00:01:32","73.288","73.307","73.288","73.315"
"00:01:33","73.282","73.295","73.282","73.302"
"00:01:34","73.302","73.300","73.292","73.302"
"00:01:35","73.263","73.278","73.263","73.295"
"00:01:36","73.250","73.257","73.250","73.263"
"00:01:37","73.210","73.225","73.210","73.243"
"00:01:38","73.184","73.198","73.184","73.224"
"00:01:39","73.151","73.166","73.151","73.181"
"00:01:40","73.151","73.159","73.151","73.171"
"00:01:41","73.158","73.150","73.145","73.158"
"00:01:42","73.165","73.158","73.152","73.165"
"00:01:43","73.185","73.173","73.165","73.185"
"00:01:44","73.205","73.189","73.185","73.205"
"00:01:45","73.219","73.214","73.199","73.225"
"00:01:46","73.245","73.233","73.222","73.245"
"00:01:47","73.272","73.257","73.245","73.272"
"00:01:48","73.319","73.288","73.272","73.319"
"00:01:49","73.319","73.319","73.312","73.325"
"00:01:50","73.332","73.324","73.306","73.332"
"00:01:51","73.332","73.331","73.326","73.332"
"00:01:52","73.313","73.322","73.313","73.329"
"00:01:53","73.326","73.330","73.323","73.340"
"00:01:54","73.320","73.332","73.320","73.340"
"00:01:55","73.340","73.322","73.314","73.340"
"00:01:56","73.327","73.336","73.327","73.347"
"00:01:57","73.341","73.329","73.321","73.341"
"00:01:58","73.341","73.341","73.334","73.347"
"00:01:59","73.341","73.341","73.321","73.354"
"00:02:00","73.328","73.341","73.328","73.355"
"00:02:01","73.328","73.330","73.322","73.341"
"00:02:02","73.296","73.308","73.296","73.322"
"00:02:03","73.303","73.297","73.289","73.303"
"00:02:04","73.276","73.284","73.276","73.296"
"00:02:05","73.276","73.270","73.263","73.276"
"00:02:06","73.243","73.256","73.243","73.270"
"00:02:07","73.244","73.248","73.244","73.257"
"00:02:08","73.264","73.246","73.237","73.264"
"00:02:09","73.238","73.244","73.238","73.254"
"00:02:10","73.218","73.222","73.205","73.234"
"00:02:11","73.205","73.207","73.205","73.215"
"00:02:12","73.192","73.194","73.192","73.199"
"00:02:13","73.192","73.191","73.186","73.192"
"00:02:14","73.173","73.184","73.173","73.192"
"00:02:15","73.160","73.172","73.160","73.186"
"00:02:16","73.147","73.163","73.147","73.173"
"00:02:17","73.134","73.143","73.127","73.160"
"00:02:18","73.134","73.135","73.127","73.140"
"00:02:19","73.147","73.149","73.144","73.154"
"00:02:20","73.148","73.144","73.134","73.154"
"00:02:21","73.141","73.135","73.128","73.144"
"00:02:22","73.161","73.144","73.135","73.161"
"00:02:23","73.155","73.151","73.148","73.155"
"00:02:24","73.175","73.165","73.149","73.182"
"00:02:25","73.202","73.192","73.178","73.202"
"00:02:26","73.202","73.203","73.202","73.209"
"00:02:27","73.209","73.205","73.196","73.209"
"00:02:28","73.183","73.191","73.183","73.199"
"00:02:29","73.183","73.180","73.176","73.190"
"00:02:30","73.177","73.182","73.176","73.196"
"00:02:31","73.184","73.181","73.170","73.190"
"00:02:32","73.171","73.176","73.170","73.184"
"00:02:33","73.158","73.169","73.158","73.177"
"00:02:34","73.145","73.153","73.144","73.158"
"00:02:35","73.118","73.122","73.118","73.131"
"00:02:36","73.118","73.117","73.105","73.125"
"00:02:37","73.092","73.107","73.092","73.119"
"00:02:38","73.099","73.101","73.096","73.106"
"00:02:39","73.093","73.101","73.093","73.106"
"00:02:40","73.113","73.112","73.099","73.119"
"00:02:41","73.113","73.112","73.106","73.113"
"00:02:42","73.127","73.110","73.100","73.127"
"00:02:43","73.114","73.120","73.114","73.127"
"00:02:44","73.127","73.122","73.114","73.127"
"00:02:45","73.121","73.122","73.114","73.127"
"00:02:46","73.121","73.125","73.121","73.134"
"00:02:47","73.135","73.138","73.128","73.148"
"00:02:48","73.128","73.134","73.121","73.148"
"00:02:49","73.088","73.106","73.088","73.118"
"00:02:50","73.096","73.096","73.095","73.102"
"00:02:51","73.062","73.083","73.062","73.096"
"00:02:52","73.063","73.060","73.056","73.063"
"00:02:53","73.050","73.056","73.043","73.063"
"00:02:54","73.043","73.056","73.043","73.070"
"00:02:55","73.004","73.020","73.004","73.037"
"00:02:56","73.011","73.012","72.998","73.024"
"00:02:57","72.985","72.990","72.978","73.004"
"00:02:58","72.965","72.972","72.958","72.985"
"00:02:59","72.972","72.966","72.958","72.972"
"00:03:00","72.979","72.980","72.972","72.985"
"00:03:01","72.979","72.972","72.959","72.985"
"00:03:02","72.973","72.973","72.966","72.979"
"00:03:03","72.993","72.981","72.976","72.993"
"00:03:04","72.973","72.978","72.966","72.989"
"00:03:05","72.993","72.984","72.973","73.000"
"00:03:06","73.013","73.005","72.993","73.013"
"00:03:07","73.040","73.028","73.020","73.040"
"00:03:08","73.060","73.047","73.033","73.060"
"00:03:09","73.067","73.064","73.060","73.067"
"00:03:10","73.021","73.036","73.021","73.054"
"00:03:11","72.995","73.008","72.995","73.018"
"00:03:12","73.015","73.006","72.995","73.015"
"00:03:13","72.968","72.991","72.968","73.008"
"00:03:14","72.976","72.974","72.962","72.982"
"00:03:15","73.002","72.985","72.969","73.002"
"00:03:16","73.016","73.004","72.996","73.016"
"00:03:17","73.036","73.033","73.022","73.049"
"00:03:18","73.063","73.045","73.029","73.063"
"00:03:19","73.063","73.052","73.043","73.063"
"00:03:20","73.010","73.036","73.010","73.053"
"00:03:21","72.964","72.985","72.964","73.007"
"00:03:22","72.938","72.952","72.938","72.964"
"00:03:23","72.925","72.930","72.924","72.938"
"00:03:24","72.938","72.933","72.918","72.938"
"00:03:25","72.972","72.955","72.938","72.972"
"00:03:26","73.012","73.001","72.978","73.018"
"00:03:27","73.032","73.024","73.015","73.032"
"00:03:28","73.105","73.068","73.042","73.105"
"00:03:29","73.145","73.136","73.111","73.151"
"00:03:30","73.132","73.139","73.118","73.158"
"00:03:31","73.105","73.116","73.105","73.128"
"00:03:32","73.092","73.106","73.092","73.119"
"00:03:33","73.079","73.089","73.079","73.092"
"00:03:34","73.099","73.093","73.083","73.106"
"00:03:35","73.086","73.088","73.080","73.099"
"00:03:36","73.067","73.077","73.067","73.087"
"00:03:37","73.040","73.070","73.040","73.087"
"00:03:38","73.028","73.040","73.028","73.047"
"00:03:39","73.021","73.021","73.001","73.034"
"00:03:40","73.028","73.018","73.008","73.028"
"00:03:41","73.055","73.038","73.021","73.055"
"00:03:42","73.068","73.054","73.041","73.068"
"00:03:43","73.068","73.075","73.068","73.082"
"00:03:44","73.075","73.078","73.069","73.088"
"00:03:45","73.062","73.064","73.056","73.069"
"00:03:46","73.056","73.059","73.056","73.062"
"00:03:47","73.043","73.042","73.036","73.053"
"00:03:48","73.043","73.051","73.043","73.063"
"00:03:49","73.043","73.045","73.043","73.050"
"00:03:50","73.044","73.050","73.044","73.057"
"00:03:51","73.050","73.049","73.044","73.057"
"00:03:52","73.018","73.024","73.011","73.037"
"00:03:53","73.018","73.020","73.011","73.025"
"00:03:54","73.018","73.018","73.005","73.025"
"00:03:55","72.992","73.002","72.992","73.012"
"00:03:56","72.992","72.996","72.992","72.999"
"00:03:57","72.999","72.995","72.986","72.999"
"00:03:58","72.986","72.988","72.966","72.999"
"00:03:59","72.960","72.967","72.953","72.979"
"00:04:00","72.940","72.947","72.940","72.953"
"00:04:01","72.940","72.943","72.940","72.947"
"00:04:02","72.927","72.934","72.921","72.947"
"00:04:03","72.934","72.938","72.930","72.954"
"00:04:04","72.947","72.943","72.934","72.947"
"00:04:05","72.934","72.942","72.934","72.948"
"00:04:06","72.955","72.958","72.948","72.968"
"00:04:07","72.988","72.981","72.965","72.988"
"00:04:08","72.968","72.984","72.968","72.988"
"00:04:09","72.949","72.956","72.949","72.968"
"00:04:10","72.936","72.940","72.935","72.955"
"00:04:11","72.949","72.947","72.942","72.956"
"00:04:12","72.976","72.968","72.956","72.982"
"00:04:13","72.976","72.965","72.956","72.976"
"00:04:14","73.016","73.001","72.976","73.016"
"00:04:15","72.990","72.994","72.983","73.010"
"00:04:16","73.023","72.999","72.983","73.023"
"00:04:17","73.030","73.036","73.030","73.043"
"00:04:18","72.997","73.015","72.997","73.030"
"00:04:19","72.991","73.002","72.991","73.011"
"00:04:20","72.971","72.985","72.971","73.004"
"00:04:21","72.978","72.987","72.978","72.998"
"00:04:22","72.945","72.963","72.945","72.975"
"00:04:23","72.965","72.946","72.932","72.965"
"00:04:24","73.038","72.999","72.968","73.038"
"00:04:25","73.032","73.034","73.019","73.045"
"00:04:26","73.039","73.049","73.039","73.065"
"00:04:27","73.052","73.046","73.039","73.059"
"00:04:28","73.006","73.026","73.006","73.046"
"00:04:29","72.967","72.975","72.967","72.993"
"00:04:30","72.907","72.935","72.907","72.957"
"00:04:31","72.881","72.885","72.874","72.901"
"00:04:32","72.842","72.865","72.842","72.881"
"00:04:33","72.828","72.840","72.828","72.848"
"00:04:34","72.842","72.831","72.822","72.842"
"00:04:35","72.849","72.847","72.842","72.855"
"00:04:36","72.829","72.837","72.829","72.846"
"00:04:37","72.843","72.839","72.829","72.849"
"00:04:38","72.829","72.835","72.829","72.839"
"00:04:39","72.837","72.835","72.823","72.843"
"00:04:40","72.830","72.840","72.830","72.857"
"00:04:41","72.870","72.861","72.843","72.870"
"00:04:42","72.877","72.871","72.863","72.877"
"00:04:43","72.864","72.872","72.864","72.877"
"00:04:44","72.838","72.847","72.837","72.851"
"00:04:45","72.845","72.843","72.838","72.851"
"00:04:46","72.845","72.842","72.831","72.852"
"00:04:47","72.865","72.845","72.832","72.865"
"00:04:48","72.845","72.841","72.825","72.845"
"00:04:49","72.872","72.848","72.832","72.872"
"00:04:50","72.859","72.855","72.846","72.865"
"00:04:51","72.872","72.878","72.866","72.892"
"00:04:52","72.939","72.914","72.886","72.939"
"00:04:53","72.986","72.962","72.942","72.986"
"00:04:54","72.999","73.001","72.995","73.005"
"00:04:55","72.953","72.981","72.953","73.005"
"00:04:56","72.953","72.953","72.946","72.960"
"00:04:57","72.920","72.936","72.920","72.950"
"00:04:58","72.947","72.939","72.923","72.947"
"00:04:59","72.980","72.972","72.953","72.987"
"00:05:00","73.000","72.994","72.987","73.000"
"00:05:01","73.014","73.011","73.000","73.027"
"00:05:02","73.014","73.014","73.000","73.020"
"00:05:03","73.027","73.028","73.017","73.034"
"00:05:04","73.034","73.034","73.021","73.041"
"00:05:05","73.041","73.031","73.021","73.041"
"00:05:06","73.068","73.052","73.044","73.068"
"00:05:07","73.233","73.123","73.084","73.233"
"00:05:08","73.505","73.481","73.356","73.512"
"00:05:09","73.578","73.535","73.505","73.578"
"00:05:10","73.572","73.579","73.572","73.585"
"00:05:11","73.572","73.572","73.565","73.586"
"00:05:12","73.539","73.520","73.447","73.549"
"00:05:13","73.599","73.570","73.549","73.599"
"00:05:14","73.659","73.648","73.609","73.679"
"00:05:15","73.686","73.691","73.669","73.706"
"00:05:16","73.647","73.658","73.647","73.680"
"00:05:17","73.614","73.620","73.607","73.640"
"00:05:18","73.688","73.641","73.614","73.688"
"00:05:19","73.880","73.787","73.697","73.880"
"00:05:20","74.086","74.010","73.910","74.086"
"00:05:21","74.205","74.169","74.106","74.205"
"00:05:22","74.358","74.280","74.212","74.358"
"00:05:23","74.511","74.453","74.381","74.511"
"00:05:24","74.545","74.515","74.498","74.545"
"00:05:25","74.591","74.591","74.571","74.611"
"00:05:26","74.625","74.627","74.598","74.644"
"00:05:27","74.658","74.637","74.611","74.658"
"00:05:28","74.632","74.652","74.632","74.665"
"00:05:29","74.573","74.605","74.573","74.626"
"00:05:30","74.567","74.552","74.533","74.567"
"00:05:31","74.819","74.693","74.583","74.819"
"00:05:32","75.031","74.916","74.825","75.031"
"00:05:33","75.396","75.237","75.064","75.396"
"00:05:34","75.542","75.489","75.412","75.542"
"00:05:35","75.562","75.562","75.549","75.575"
"00:05:36","75.483","75.517","75.483","75.552"
"00:05:37","75.311","75.387","75.311","75.463"
"00:05:38","75.265","75.279","75.265","75.305"
"00:05:39","75.365","75.292","75.245","75.365"
"00:05:40","75.524","75.474","75.395","75.524"
"00:05:41","75.498","75.522","75.498","75.538"
"00:05:42","75.439","75.461","75.439","75.491"
"00:05:43","75.386","75.397","75.379","75.426"
"00:05:44","75.406","75.397","75.393","75.406"
"00:05:45","75.413","75.414","75.406","75.420"
"00:05:46","75.400","75.397","75.387","75.407"
"00:05:47","75.414","75.409","75.404","75.414"
"00:05:48","75.467","75.434","75.417","75.467"
"00:05:49","75.706","75.584","75.484","75.706"
"00:05:50","75.985","75.875","75.743","75.985"
"00:05:51","76.025","76.020","75.998","76.031"
"00:05:52","76.051","76.043","76.031","76.051"
"00:05:53","76.072","76.056","76.051","76.072"
"00:05:54","75.900","75.989","75.900","76.062"
"00:05:55","75.702","75.789","75.702","75.890"
"00:05:56","75.602","75.638","75.602","75.678"
"00:05:57","75.576","75.578","75.563","75.596"
"00:05:58","75.762","75.656","75.586","75.762"
"00:05:59","75.941","75.902","75.792","75.954"
"00:06:00","75.796","75.853","75.796","75.925"
"00:06:01","75.823","75.808","75.783","75.829"
"00:06:02","75.750","75.781","75.750","75.813"
"00:06:03","75.624","75.689","75.624","75.743"
"00:06:04","75.605","75.602","75.585","75.624"
"00:06:05","75.824","75.733","75.625","75.824"
"00:06:06","75.758","75.786","75.758","75.824"
"00:06:07","75.699","75.724","75.699","75.755"
"00:06:08","75.646","75.675","75.646","75.692"
"00:06:09","75.779","75.690","75.649","75.779"
"00:06:10","75.892","75.860","75.796","75.892"
"00:06:11","75.952","75.917","75.895","75.952"
"00:06:12","76.217","76.066","75.958","76.217"
"00:06:13","76.635","76.459","76.260","76.635"
"00:06:14","76.701","76.711","76.661","76.734"
"00:06:15","76.602","76.652","76.602","76.695"
"00:06:16","76.576","76.580","76.576","76.589"
"00:06:17","76.444","76.522","76.444","76.576"
"00:06:18","76.537","76.471","76.431","76.537"
"00:06:19","76.451","76.483","76.451","76.521"
"00:06:20","","","",""
"00:06:21","","","",""
"00:06:22","","","",""
"00:06:23","","","",""
"00:06:24","","","",""
"00:06:25","","","",""
"00:06:26","","","",""
"00:06:27","","","",""
"00:06:28","","","",""
"00:06:29","","","",""
"00:06:30","","","",""
"00:06:31","","","",""
"00:06:32","","","",""
"00:06:33","","","",""
"00:06:34","","","",""
"00:06:35","","","",""
"00:06:36","","","",""
"00:06:37","","","",""
"00:06:38","","","",""
"00:06:39","","","",""
"00:06:40","","","",""
"00:06:41","","","",""
"00:06:42","","","",""
"00:06:43","","","",""
"00:06:44","","","",""
"00:06:45","","","",""
"00:06:46","","","",""
"00:06:47","","","",""
"00:06:48","","","",""
"00:06:49","","","",""
"00:06:50","","","",""
"00:06:51","","","",""
"00:06:52","","","",""
"00:06:53","","","",""
"00:06:54","","","",""
"00:06:55","","","",""
"00:06:56","","","",""
"00:06:57","","","",""
"00:06:58","","","",""
"00:06:59","","","",""
"00:07:00","","","",""
"00:07:01","","","",""
"00:07:02","","","",""
"00:07:03","","","",""
"00:07:04","","","",""
"00:07:05","","","",""
"00:07:06","","","",""
"00:07:07","","","",""
"00:07:08","","","",""
"00:07:09","","","",""
"00:07:10","","","",""
"00:07:11","","","",""
"00:07:12","","","",""
"00:07:13","","","",""
"00:07:14","","","",""
"00:07:15","","","",""
"00:07:16","","","",""
"00:07:17","","","",""
"00:07:18","","","",""
"00:07:19","","","",""
"00:07:20","","","",""
"00:07:21","","","",""
"00:07:22","","","",""
"00:07:23","","","",""
"00:07:24","","","",""
"00:07:25","","","",""
"00:07:26","","","",""
"00:07:27","","","",""
"00:07:28","","","",""
"00:07:29","","","",""
"00:07:30","","","",""
"00:07:31","","","",""
"00:07:32","","","",""
"00:07:33","","","",""
"00:07:34","","","",""
"00:07:35","","","",""
"00:07:36","","","",""
"00:07:37","","","",""
"00:07:38","","","",""
"00:07:39","","","",""
"00:07:40","","","",""
"00:07:41","","","",""
"00:07:42","","","",""
"00:07:43","","","",""
"00:07:44","","","",""
"00:07:45","","","",""
"00:07:46","","","",""
"00:07:47","","","",""
"00:07:48","","","",""
"00:07:49","","","",""
"00:07:50","","","",""
"00:07:51","","","",""
"00:07:52","","","",""
"00:07:53","","","",""
"00:07:54","","","",""
"00:07:55","","","",""
"00:07:56","","","",""
"00:07:57","","","",""
"00:07:58","","","",""
"00:07:59","","","",""
"00:08:00","","","",""
"00:08:01","","","",""
"00:08:02","","","",""
"00:08:03","","","",""
"00:08:04","","","",""
"00:08:05","","","",""
"00:08:06","","","",""
"00:08:07","","","",""
"00:08:08","","","",""
"00:08:09","","","",""
"00:08:10","","","",""
"00:08:11","","","",""
"00:08:12","","","",""
"00:08:13","","","",""
"00:08:14","","","",""
"00:08:15","","","",""
"00:08:16","","","",""
"00:08:17","","","",""
"00:08:18","","","",""
"00:08:19","","","",""
"00:08:20","","","",""
"00:08:21","","","",""
"00:08:22","","","",""
"00:08:23","","","",""
"00:08:24","","","",""
"00:08:25","","","",""
"00:08:26","","","",""
"00:08:27","","","",""
"00:08:28","","","",""
"00:08:29","","","",""
"00:08:30","","","",""
"00:08:31","","","",""
"00:08:32","","","",""
"00:08:33","","","",""
"00:08:34","","","",""
"00:08:35","","","",""
"00:08:36","","","",""
"00:08:37","","","",""
"00:08:38","","","",""
"00:08:39","","","",""
"00:08:40","","","",""
"00:08:41","","","",""
"00:08:42","","","",""
"00:08:43","","","",""
"00:08:44","","","",""
"00:08:45","","","",""
"00:08:46","","","",""
"00:08:47","","","",""
"00:08:48","","","",""
"00:08:49","","","",""
"00:08:50","","","",""
"00:08:51","","","",""
"00:08:52","","","",""
"00:08:53","","","",""
"00:08:54","","","",""
"00:08:55","","","",""
"00:08:56","","","",""
"00:08:57","","","",""
"00:08:58","","","",""
"00:08:59","","","",""
"00:09:00","","","",""
"00:09:01","","","",""
"00:09:02","","","",""
"00:09:03","","","",""
"00:09:04","","","",""
"00:09:05","","","",""
"00:09:06","","","",""
"00:09:07","","","",""
"00:09:08","","","",""
"00:09:09","","","",""
"00:09:10","","","",""
"00:09:11","","","",""
"00:09:12","","","",""
"00:09:13","","","",""
"00:09:14","","","",""
"00:09:15","","","",""
"00:09:16","","","",""
"00:09:17","","","",""
"00:09:18","","","",""
"00:09:19","","","",""
"00:09:20","","","",""
"00:09:21","","","",""
"00:09:22","","","",""
"00:09:23","","","",""
"00:09:24","","","",""
"00:09:25","","","",""
"00:09:26","","","",""
"00:09:27","","","",""
"00:09:28","","","",""
"00:09:29","","","",""
"00:09:30","","","",""
"00:09:31","","","",""
"00:09:32","","","",""
"00:09:33","","","",""
"00:09:34","","","",""
"00:09:35","","","",""
"00:09:36","","","",""
"00:09:37","","","",""
"00:09:38","","","",""
"00:09:39","","","",""
"00:09:40","","","",""
"00:09:41","","","",""
"00:09:42","","","",""
"00:09:43","","","",""
"00:09:44","","","",""
"00:09:45","","","",""
"00:09:46","","","",""
"00:09:47","","","",""
"00:09:48","","","",""
"00:09:49","","","",""
"00:09:50","","","",""
"00:09:51","","","",""
"00:09:52","","","",""
"00:09:53","","","",""
"00:09:54","","","",""
